player,nationality,position,age,club,league,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Vitinho,BRA,"FW,MF",23,Red Bull Bragantino,Brazilian League,22.8,1194.0,18.0,95.0,405.0,708.0,102.0,1194.0,84.0,32.0,38.1,39.0,46.4,774.0,4448.0,2314.0,76.0,67.0,36.0,54.0,46.0,857.0,244.0
Jadsom,BRA,MF,21,Red Bull Bragantino,Brazilian League,21.1,1346.0,45.0,252.0,811.0,299.0,22.0,1346.0,26.0,18.0,69.2,6.0,23.1,696.0,3119.0,1308.0,16.0,20.0,3.0,26.0,24.0,813.0,51.0
Helinho,BRA,FW,22,Red Bull Bragantino,Brazilian League,15.4,1006.0,8.0,87.0,337.0,596.0,54.0,1006.0,85.0,39.0,45.9,39.0,45.9,640.0,4272.0,1902.0,54.0,46.0,19.0,45.0,15.0,707.0,168.0
Leonardo Realpe,ECU,DF,21,Red Bull Bragantino,Brazilian League,18.7,993.0,104.0,430.0,535.0,31.0,10.0,993.0,7.0,7.0,100.0,0.0,0.0,565.0,3116.0,1946.0,15.0,7.0,0.0,5.0,2.0,611.0,3.0
Leo Ortiz,BRA,DF,27,Red Bull Bragantino,Brazilian League,17.8,1236.0,165.0,519.0,664.0,62.0,19.0,1236.0,9.0,5.0,55.6,3.0,33.3,669.0,3898.0,2604.0,28.0,13.0,1.0,6.0,4.0,751.0,2.0
José Hurtado,ECU,DF,21,Red Bull Bragantino,Brazilian League,18.0,1181.0,49.0,261.0,536.0,392.0,19.0,1181.0,38.0,20.0,52.6,15.0,39.5,577.0,3165.0,1683.0,57.0,34.0,9.0,18.0,7.0,569.0,79.0
Aderlan Silva,BRA,DF,32,Red Bull Bragantino,Brazilian League,15.8,1213.0,56.0,328.0,548.0,342.0,14.0,1213.0,24.0,12.0,50.0,10.0,41.7,522.0,2356.0,1196.0,23.0,19.0,6.0,15.0,4.0,612.0,41.0
Eric Ramires,BRA,MF,22,Red Bull Bragantino,Brazilian League,15.3,860.0,5.0,88.0,483.0,295.0,26.0,860.0,32.0,15.0,46.9,15.0,46.9,520.0,2297.0,1022.0,22.0,25.0,2.0,29.0,13.0,570.0,50.0
Luan Patrick,BRA,DF,21,Red Bull Bragantino,Brazilian League,12.4,705.0,71.0,334.0,349.0,25.0,12.0,705.0,1.0,0.0,0.0,1.0,100.0,404.0,2045.0,1128.0,6.0,3.0,1.0,4.0,0.0,435.0,1.0
Luan Cândido,BRA,DF,21,Red Bull Bragantino,Brazilian League,12.0,771.0,48.0,216.0,383.0,177.0,33.0,771.0,19.0,11.0,57.9,4.0,21.1,390.0,2089.0,1010.0,19.0,13.0,2.0,11.0,11.0,437.0,42.0
Eduardo Santos,BRA,DF,25,Red Bull Bragantino,Brazilian League,11.3,665.0,112.0,336.0,307.0,32.0,10.0,665.0,17.0,12.0,70.6,4.0,23.5,376.0,2286.0,1285.0,11.0,8.0,1.0,5.0,5.0,390.0,2.0
Thiago Borbas,URU,FW,20,Red Bull Bragantino,Brazilian League,15.9,541.0,6.0,19.0,179.0,347.0,92.0,541.0,26.0,13.0,50.0,9.0,34.6,321.0,1215.0,317.0,12.0,9.0,4.0,53.0,24.0,412.0,119.0
Henry Mosquera,COL,"FW,MF",21,Red Bull Bragantino,Brazilian League,11.8,542.0,9.0,48.0,156.0,360.0,54.0,542.0,106.0,55.0,51.9,46.0,43.4,412.0,3379.0,2057.0,71.0,50.0,23.0,32.0,26.0,418.0,161.0
Natan,BRA,DF,21,Red Bull Bragantino,Brazilian League,9.3,470.0,53.0,201.0,254.0,20.0,7.0,470.0,2.0,1.0,50.0,1.0,50.0,272.0,2021.0,1130.0,7.0,3.0,0.0,6.0,0.0,262.0,0.0
Bruninho,BRA,"FW,MF",19,Red Bull Bragantino,Brazilian League,7.9,388.0,1.0,18.0,175.0,203.0,39.0,388.0,31.0,21.0,67.7,9.0,29.0,263.0,1723.0,693.0,19.0,14.0,9.0,27.0,10.0,294.0,68.0
