player,nationality,position,age,club,league,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Hyoran,BRA,"MF,FW",29.0,Atlético Mineiro,Brazilian League,7.7,15.0,8,5.0,6.0,4.0,9.0,26.0,34.6,17.0,13.0,2.0,11.0,3,18.0,6.0,0.0
Alan Franco,ECU,"MF,FW",24.0,Atlético Mineiro,Brazilian League,9.3,26.0,14,11.0,10.0,5.0,8.0,18.0,44.4,10.0,12.0,4.0,8.0,15,41.0,9.0,0.0
Igor Rabello,BRA,DF,27.0,Atlético Mineiro,Brazilian League,7.7,17.0,12,13.0,4.0,0.0,11.0,23.0,47.8,12.0,12.0,8.0,4.0,9,26.0,40.0,0.0
Pedrinho,BRA,"MF,FW",24.0,Atlético Mineiro,Brazilian League,7.0,13.0,5,4.0,7.0,2.0,4.0,5.0,80.0,1.0,6.0,0.0,6.0,1,14.0,2.0,0.0
Eduardo Vargas,CHI,FW,33.0,Atlético Mineiro,Brazilian League,5.2,3.0,1,1.0,2.0,0.0,3.0,12.0,25.0,9.0,4.0,0.0,4.0,0,3.0,1.0,0.0
Nathan Silva,BRA,DF,25.0,Atlético Mineiro,Brazilian League,4.0,3.0,2,3.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,2.0,1.0,0,3.0,14.0,0.0
Patrick,BRA,"MF,FW",30.0,Atlético Mineiro,Brazilian League,6.2,28.0,19,9.0,10.0,9.0,11.0,26.0,42.3,15.0,11.0,1.0,10.0,6,34.0,9.0,0.0
Alan Kardec,BRA,"FW,MF",34.0,Atlético Mineiro,Brazilian League,2.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1.0,0.0
Matheus Mendes,BRA,GK,23.0,Atlético Mineiro,Brazilian League,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
Réver,BRA,"DF,FW",38.0,Atlético Mineiro,Brazilian League,1.3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,1.0,11.0,0.0
Dodô,BRA,DF,30.0,Atlético Mineiro,Brazilian League,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0
Alisson,BRA,"MF,DF",17.0,Atlético Mineiro,Brazilian League,0.5,2.0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,2.0,1.0,0.0
Isaac,BRA,FW,18.0,Atlético Mineiro,Brazilian League,0.2,1.0,1,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Paulo Vitor,BRA,MF,18.0,Atlético Mineiro,Brazilian League,0.2,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0
Carlos Eduardo,BRA,"MF,FW",18.0,Atlético Mineiro,Brazilian League,0.1,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
Fabrício Bruno,BRA,DF,26.0,Flamengo,Brazilian League,34.0,48.0,28,29.0,18.0,1.0,27.0,35.0,77.1,8.0,40.0,26.0,14.0,25,73.0,148.0,1.0
Léo Pereira,BRA,DF,27.0,Flamengo,Brazilian League,29.4,46.0,29,21.0,24.0,1.0,30.0,52.0,57.7,22.0,45.0,30.0,15.0,29,75.0,85.0,1.0
Gerson,BRA,MF,25.0,Flamengo,Brazilian League,29.9,40.0,22,19.0,16.0,5.0,17.0,46.0,37.0,29.0,27.0,7.0,20.0,15,55.0,30.0,0.0
Ayrton Lucas,BRA,DF,25.0,Flamengo,Brazilian League,28.8,62.0,45,31.0,21.0,10.0,37.0,68.0,54.4,31.0,21.0,5.0,16.0,14,76.0,52.0,0.0
Wesley,BRA,DF,19.0,Flamengo,Brazilian League,27.9,74.0,48,42.0,26.0,6.0,32.0,69.0,46.4,37.0,24.0,10.0,14.0,40,114.0,64.0,1.0
Pedro,BRA,FW,25.0,Flamengo,Brazilian League,23.9,18.0,13,2.0,10.0,6.0,4.0,14.0,28.6,10.0,17.0,0.0,17.0,8,26.0,15.0,0.0
Thiago Maia,BRA,MF,25.0,Flamengo,Brazilian League,23.3,49.0,31,21.0,24.0,4.0,27.0,61.0,44.3,34.0,23.0,12.0,11.0,29,78.0,38.0,1.0
Erick Pulgar,CHI,MF,29.0,Flamengo,Brazilian League,22.2,42.0,26,14.0,25.0,3.0,23.0,66.0,34.8,43.0,29.0,10.0,19.0,25,67.0,30.0,1.0
Giorgian De Arrascaeta,URU,"MF,FW",28.0,Flamengo,Brazilian League,20.5,36.0,24,10.0,18.0,8.0,12.0,34.0,35.3,22.0,12.0,1.0,11.0,7,43.0,14.0,0.0
Everton Soares,BRA,"FW,MF",26.0,Flamengo,Brazilian League,19.3,32.0,22,8.0,10.0,14.0,12.0,33.0,36.4,21.0,26.0,6.0,20.0,11,43.0,11.0,0.0
Matheus Cunha,BRA,GK,21.0,Flamengo,Brazilian League,17.6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,10.0,3.0
Gabriel Barbosa,BRA,FW,26.0,Flamengo,Brazilian League,17.1,3.0,1,1.0,1.0,1.0,1.0,15.0,6.7,14.0,1.0,0.0,1.0,2,5.0,0.0,0.0
Everton Ribeiro,BRA,"FW,MF",33.0,Flamengo,Brazilian League,16.4,21.0,12,8.0,10.0,3.0,10.0,39.0,25.6,29.0,9.0,3.0,6.0,11,32.0,5.0,0.0
Agustín Rossi,ARG,GK,27.0,Flamengo,Brazilian League,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0
Bruno Henrique,BRA,"FW,MF",32.0,Flamengo,Brazilian League,17.1,31.0,21,11.0,10.0,10.0,13.0,28.0,46.4,15.0,21.0,3.0,18.0,3,34.0,21.0,0.0
Victor Hugo,BRA,"MF,FW",18.0,Flamengo,Brazilian League,14.2,31.0,19,5.0,22.0,4.0,16.0,36.0,44.4,20.0,11.0,1.0,10.0,13,44.0,9.0,0.0
David Luiz,BRA,DF,35.0,Flamengo,Brazilian League,11.0,13.0,9,8.0,4.0,1.0,6.0,12.0,50.0,6.0,13.0,11.0,2.0,10,23.0,56.0,0.0
Luiz Araújo,BRA,"FW,MF",26.0,Flamengo,Brazilian League,8.7,19.0,16,8.0,6.0,5.0,7.0,19.0,36.8,12.0,13.0,1.0,12.0,7,26.0,10.0,0.0
Matheuzinho,BRA,DF,22.0,Flamengo,Brazilian League,6.9,20.0,9,12.0,6.0,2.0,12.0,20.0,60.0,8.0,12.0,4.0,8.0,7,27.0,15.0,0.0
Filipe Luís,BRA,DF,37.0,Flamengo,Brazilian League,5.9,18.0,9,11.0,6.0,1.0,8.0,9.0,88.9,1.0,5.0,3.0,2.0,11,29.0,13.0,0.0
Santos,BRA,GK,32.0,Flamengo,Brazilian League,5.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,2.0
Matheus França,BRA,"MF,FW",18.0,Flamengo,Brazilian League,4.1,7.0,6,2.0,2.0,3.0,1.0,8.0,12.5,7.0,6.0,0.0,6.0,5,12.0,2.0,0.0
Allan,BRA,MF,25.0,Flamengo,Brazilian League,5.4,10.0,5,4.0,5.0,1.0,3.0,16.0,18.8,13.0,5.0,1.0,4.0,9,19.0,4.0,0.0
Pablo,BRA,DF,31.0,Flamengo,Brazilian League,4.7,4.0,3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,7,11.0,35.0,1.0
Guillermo Varela,URU,DF,29.0,Flamengo,Brazilian League,2.6,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5,6.0,5.0,0.0
Arturo Vidal,CHI,"MF,DF",35.0,Flamengo,Brazilian League,2.8,5.0,5,3.0,2.0,0.0,5.0,12.0,41.7,7.0,2.0,1.0,1.0,2,7.0,5.0,0.0
Marinho,BRA,"FW,DF",32.0,Flamengo,Brazilian League,0.9,2.0,2,0.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,1.0,1.0,0,2.0,0.0,0.0
Igor,BRA,MF,19.0,Flamengo,Brazilian League,0.9,2.0,1,0.0,2.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,0.0,3,5.0,0.0,0.0
