player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Rodrigo Caio,BRA,"MF,DF",29,Flamengo,Brazilian League,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pedrinho,BRA,FW,19,Flamengo,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matheus Gonçalves,BRA,"FW,MF",17,Flamengo,Brazilian League,0.2,0,1,0.0,0.0,5.63,0.0,0.0,0.0,21.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
André Inácio,BRA,FW,20,Flamengo,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lucas Perri,BRA,GK,25,Botafogo (RJ),Brazilian League,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Víctor Cuesta,ARG,DF,34,Botafogo (RJ),Brazilian League,35.0,1,22,5.0,22.7,0.63,0.14,0.05,0.2,13.8,3.0,0,0,2.4,2.2,0.1,-1.4,-1.2
Adryelson,BRA,DF,24,Botafogo (RJ),Brazilian League,33.3,1,12,5.0,41.7,0.36,0.15,0.08,0.2,9.9,0.0,0,0,1.1,1.1,0.09,-0.1,-0.1
Marlon Freitas,BRA,MF,27,Botafogo (RJ),Brazilian League,32.3,1,41,5.0,12.2,1.27,0.15,0.02,0.2,26.0,0.0,0,0,2.1,2.1,0.05,-1.1,-1.1
Carlos Eduardo,BRA,MF,33,Botafogo (RJ),Brazilian League,29.7,6,43,18.0,41.9,1.45,0.61,0.14,0.33,16.0,8.0,0,0,5.5,5.5,0.13,0.5,0.5
Tchê Tchê,BRA,"MF,DF",30,Botafogo (RJ),Brazilian League,29.5,2,45,12.0,26.7,1.52,0.41,0.04,0.17,25.0,1.0,0,0,1.9,1.9,0.04,0.1,0.1
Tiquinho Soares,BRA,FW,32,Botafogo (RJ),Brazilian League,27.1,17,76,24.0,31.6,2.81,0.89,0.16,0.5,17.5,1.0,5,7,13.1,7.6,0.1,3.9,4.4
Júnior Santos,BRA,FW,28,Botafogo (RJ),Brazilian League,24.0,7,69,21.0,30.4,2.87,0.87,0.1,0.33,18.2,1.0,0,0,6.6,6.6,0.1,0.4,0.4
João Victor Santos Sá,BRA,FW,28,Botafogo (RJ),Brazilian League,23.6,4,47,20.0,42.6,1.99,0.85,0.09,0.2,18.5,0.0,0,0,5.0,5.0,0.11,-1.0,-1.0
Leonel Di Plácido,ARG,DF,29,Botafogo (RJ),Brazilian League,26.2,1,10,3.0,30.0,0.38,0.11,0.1,0.33,27.8,0.0,0,0,0.2,0.2,0.02,0.8,0.8
Fernando Marçal,BRA,DF,33,Botafogo (RJ),Brazilian League,18.1,0,8,1.0,12.5,0.44,0.06,0.0,0.0,23.3,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Hugo,BRA,DF,21,Botafogo (RJ),Brazilian League,15.5,0,8,2.0,25.0,0.52,0.13,0.0,0.0,27.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Luis Henrique,BRA,"FW,MF",21,Botafogo (RJ),Brazilian League,15.3,4,27,13.0,48.1,1.76,0.85,0.15,0.31,20.2,0.0,0,0,3.3,3.3,0.12,0.7,0.7
Danilo Barbosa,BRA,"MF,DF",26,Botafogo (RJ),Brazilian League,11.2,3,10,4.0,40.0,0.89,0.36,0.3,0.75,14.9,0.0,0,0,1.0,1.0,0.1,2.0,2.0
Gabriel,BRA,MF,29,Botafogo (RJ),Brazilian League,9.6,0,15,4.0,26.7,1.56,0.42,0.0,0.0,23.3,3.0,0,0,0.7,0.7,0.05,-0.7,-0.7
Rafael,BRA,DF,32,Botafogo (RJ),Brazilian League,5.4,0,1,1.0,100.0,0.19,0.19,0.0,0.0,28.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Lucas Fernandes,BRA,MF,25,Botafogo (RJ),Brazilian League,5.3,0,17,5.0,29.4,3.23,0.95,0.0,0.0,18.9,1.0,0,0,1.1,1.1,0.07,-1.1,-1.1
Philipe Sampaio,BRA,DF,28,Botafogo (RJ),Brazilian League,5.5,0,2,0.0,0.0,0.36,0.0,0.0,0.0,10.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Gustavo Sauer,BRA,"FW,MF",29,Botafogo (RJ),Brazilian League,2.9,2,5,2.0,40.0,1.74,0.7,0.4,1.0,19.7,0.0,0,0,0.2,0.2,0.05,1.8,1.8
Diego Costa,ESP,FW,34,Botafogo (RJ),Brazilian League,5.7,3,16,7.0,43.8,2.79,1.22,0.19,0.43,12.8,1.0,0,0,1.9,1.9,0.12,1.1,1.1
Matias Segovia,PAR,FW,20,Botafogo (RJ),Brazilian League,7.2,0,11,4.0,36.4,1.52,0.55,0.0,0.0,22.5,1.0,0,0,0.9,0.9,0.08,-0.9,-0.9
Janderson,BRA,"FW,MF",23,Botafogo (RJ),Brazilian League,4.6,1,14,4.0,28.6,3.04,0.87,0.07,0.25,16.8,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7
JP Galvão,BRA,DF,21,Botafogo (RJ),Brazilian League,2.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bastos,ANG,DF,31,Botafogo (RJ),Brazilian League,1.3,0,1,0.0,0.0,0.76,0.0,0.0,0.0,8.9,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Carlos Alberto,BRA,"FW,MF",20,Botafogo (RJ),Brazilian League,3.3,2,7,3.0,42.9,2.13,0.91,0.29,0.67,12.5,0.0,0,0,1.1,1.1,0.16,0.9,0.9
Matheus Nascimento,BRA,"FW,MF",18,Botafogo (RJ),Brazilian League,1.1,1,3,2.0,66.7,2.76,1.84,0.33,0.5,9.4,0.0,0,0,0.8,0.8,0.28,0.2,0.2
Luis Segovia,ECU,DF,25,Botafogo (RJ),Brazilian League,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Daniel Borges,BRA,DF,29,Botafogo (RJ),Brazilian League,0.5,0,1,1.0,100.0,2.0,2.0,0.0,0.0,26.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Gatito Fernández,PAR,GK,34,Botafogo (RJ),Brazilian League,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Diego Hernández,URU,FW,22,Botafogo (RJ),Brazilian League,0.5,0,3,2.0,66.7,6.59,4.39,0.0,0.0,22.2,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2
Kayque,BRA,MF,22,Botafogo (RJ),Brazilian League,0.3,0,1,0.0,0.0,3.33,0.0,0.0,0.0,25.3,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Mateo Ponte,URU,DF,19,Botafogo (RJ),Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lucas Piazon,BRA,FW,29,Botafogo (RJ),Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Breno,BRA,MF,22,Botafogo (RJ),Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Newton,BRA,MF,22,Botafogo (RJ),Brazilian League,0.1,0,1,0.0,0.0,11.25,0.0,0.0,0.0,30.4,0.0,0,0,0.0,0.0,0.01,0.0,0.0
Rai,BRA,MF,20,Botafogo (RJ),Brazilian League,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Cleiton Schwengber,BRA,GK,25,Red Bull Bragantino,Brazilian League,33.0,0,2,0.0,0.0,0.06,0.0,0.0,0.0,12.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Juninho Capixaba,BRA,DF,25,Red Bull Bragantino,Brazilian League,31.9,2,51,21.0,41.2,1.6,0.66,0.04,0.1,20.2,2.0,0,0,2.9,2.9,0.06,-0.9,-0.9
Lucas Evangelista,BRA,MF,27,Red Bull Bragantino,Brazilian League,30.2,1,67,13.0,19.4,2.22,0.43,0.01,0.08,21.2,4.0,0,0,3.7,3.7,0.06,-2.7,-2.7
Matheus Fernandes,BRA,MF,24,Red Bull Bragantino,Brazilian League,26.0,1,24,6.0,25.0,0.92,0.23,0.04,0.17,28.0,0.0,0,0,0.8,0.8,0.03,0.2,0.2
Eduardo Sasha,BRA,"FW,MF",30,Red Bull Bragantino,Brazilian League,24.8,11,62,23.0,37.1,2.5,0.93,0.13,0.35,16.2,0.0,3,3,11.4,9.0,0.15,-0.4,-1.0
Vitinho,BRA,"FW,MF",23,Red Bull Bragantino,Brazilian League,22.8,2,67,20.0,29.9,2.94,0.88,0.03,0.1,18.9,0.0,0,0,3.8,3.8,0.06,-1.8,-1.8
Jadsom,BRA,MF,21,Red Bull Bragantino,Brazilian League,21.1,1,23,6.0,26.1,1.09,0.28,0.04,0.17,27.7,0.0,0,0,1.2,1.2,0.05,-0.2,-0.2
Helinho,BRA,FW,22,Red Bull Bragantino,Brazilian League,15.4,3,43,17.0,39.5,2.8,1.11,0.07,0.18,23.1,6.0,0,0,3.2,3.2,0.07,-0.2,-0.2
Leonardo Realpe,ECU,DF,21,Red Bull Bragantino,Brazilian League,18.7,0,5,1.0,20.0,0.27,0.05,0.0,0.0,10.7,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5
Leo Ortiz,BRA,DF,27,Red Bull Bragantino,Brazilian League,17.8,2,14,6.0,42.9,0.79,0.34,0.14,0.33,10.7,0.0,0,0,1.9,1.9,0.14,0.1,0.1
José Hurtado,ECU,DF,21,Red Bull Bragantino,Brazilian League,18.0,0,7,2.0,28.6,0.39,0.11,0.0,0.0,26.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Aderlan Silva,BRA,DF,32,Red Bull Bragantino,Brazilian League,15.8,0,12,1.0,8.3,0.76,0.06,0.0,0.0,25.4,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4
Eric Ramires,BRA,MF,22,Red Bull Bragantino,Brazilian League,15.3,3,21,7.0,33.3,1.37,0.46,0.14,0.43,17.7,0.0,0,0,2.5,2.5,0.12,0.5,0.5
Luan Patrick,BRA,DF,21,Red Bull Bragantino,Brazilian League,12.4,0,4,1.0,25.0,0.32,0.08,0.0,0.0,7.6,0.0,0,0,0.6,0.6,0.14,-0.6,-0.6
Luan Cândido,BRA,DF,21,Red Bull Bragantino,Brazilian League,12.0,1,29,12.0,41.4,2.41,1.0,0.03,0.08,20.6,6.0,0,0,1.8,1.8,0.06,-0.8,-0.8
Eduardo Santos,BRA,DF,25,Red Bull Bragantino,Brazilian League,11.3,1,9,3.0,33.3,0.79,0.26,0.11,0.33,11.8,0.0,0,0,0.9,0.9,0.1,0.1,0.1
Thiago Borbas,URU,FW,20,Red Bull Bragantino,Brazilian League,15.9,9,55,26.0,47.3,3.47,1.64,0.16,0.35,13.8,1.0,0,0,9.2,9.2,0.17,-0.2,-0.2
Henry Mosquera,COL,"FW,MF",21,Red Bull Bragantino,Brazilian League,11.8,2,28,7.0,25.0,2.38,0.59,0.07,0.29,20.6,0.0,0,0,1.9,1.9,0.07,0.1,0.1
Natan,BRA,DF,21,Red Bull Bragantino,Brazilian League,9.3,0,5,1.0,20.0,0.54,0.11,0.0,0.0,11.0,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3
Bruninho,BRA,"FW,MF",19,Red Bull Bragantino,Brazilian League,7.9,2,21,6.0,28.6,2.64,0.76,0.1,0.33,17.1,3.0,0,0,2.7,2.7,0.13,-0.7,-0.7
Marcos Vinicios Sorriso,BRA,"FW,DF",21,Red Bull Bragantino,Brazilian League,10.4,2,31,13.0,41.9,2.97,1.25,0.06,0.15,18.2,5.0,0,0,3.1,3.1,0.1,-1.1,-1.1
Lucão,BRA,GK,21,Red Bull Bragantino,Brazilian League,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gustavinho,BRA,"MF,FW",18,Red Bull Bragantino,Brazilian League,7.4,1,11,3.0,27.3,1.49,0.41,0.09,0.33,22.9,0.0,0,0,0.6,0.6,0.05,0.4,0.4
Matheus Gonçalves,BRA,"FW,MF",17,Red Bull Bragantino,Brazilian League,5.1,0,16,2.0,12.5,3.12,0.39,0.0,0.0,19.0,0.0,0,0,0.9,0.9,0.06,-0.9,-0.9
Alerrandro,BRA,"FW,MF",23,Red Bull Bragantino,Brazilian League,4.5,1,13,3.0,23.1,2.89,0.67,0.08,0.33,14.3,0.0,0,0,3.1,3.1,0.24,-2.1,-2.1
Lucão,BRA,DF,24,Red Bull Bragantino,Brazilian League,2.2,0,1,1.0,100.0,0.45,0.45,0.0,0.0,13.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Guilherme,BRA,"DF,MF",20,Red Bull Bragantino,Brazilian League,2.9,0,3,1.0,33.3,1.03,0.34,0.0,0.0,28.3,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Ignacio Laquintana,URU,FW,23,Red Bull Bragantino,Brazilian League,2.0,0,4,2.0,50.0,1.97,0.98,0.0,0.0,26.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Talisson,BRA,FW,20,Red Bull Bragantino,Brazilian League,1.7,3,6,4.0,66.7,3.58,2.38,0.5,0.75,15.9,0.0,0,0,1.3,1.3,0.22,1.7,1.7
Raul,BRA,"MF,DF",26,Red Bull Bragantino,Brazilian League,1.2,0,1,0.0,0.0,0.84,0.0,0.0,0.0,29.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Yani Quintero,COL,MF,20,Red Bull Bragantino,Brazilian League,1.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Cipriano,BRA,DF,20,Red Bull Bragantino,Brazilian League,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Lucas Cunha,BRA,DF,26,Red Bull Bragantino,Brazilian League,0.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Nathan Camargo,BRA,MF,17,Red Bull Bragantino,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bruno Praxedes,BRA,MF,20,Red Bull Bragantino,Brazilian League,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fábio,BRA,GK,42,Fluminense,Brazilian League,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
André,BRA,"MF,DF",21,Fluminense,Brazilian League,29.4,0,12,3.0,25.0,0.41,0.1,0.0,0.0,28.5,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4
Germán Cano,ARG,FW,34,Fluminense,Brazilian League,27.4,10,81,33.0,40.7,2.96,1.2,0.12,0.3,20.3,0.0,0,1,10.0,9.2,0.11,0.0,0.8
Lima,BRA,"MF,FW",26,Fluminense,Brazilian League,28.1,6,47,17.0,36.2,1.67,0.6,0.13,0.35,21.9,1.0,0,0,3.0,3.0,0.06,3.0,3.0
Jhon Arias,COL,"FW,MF",25,Fluminense,Brazilian League,26.5,7,50,23.0,46.0,1.89,0.87,0.1,0.22,19.6,6.0,2,2,5.8,4.2,0.08,1.2,0.8
Nino,BRA,DF,25,Fluminense,Brazilian League,23.9,2,14,6.0,42.9,0.58,0.25,0.14,0.33,12.9,0.0,0,0,1.2,1.2,0.09,0.8,0.8
Samuel Xavier,BRA,DF,32,Fluminense,Brazilian League,23.4,1,24,3.0,12.5,1.02,0.13,0.04,0.33,21.0,0.0,0,0,0.9,0.9,0.04,0.1,0.1
Ganso,BRA,MF,33,Fluminense,Brazilian League,19.3,3,22,7.0,31.8,1.14,0.36,0.14,0.43,19.1,1.0,0,0,2.3,2.3,0.1,0.7,0.7
Martinelli,BRA,"MF,DF",21,Fluminense,Brazilian League,20.9,2,20,5.0,25.0,0.96,0.24,0.1,0.4,20.6,0.0,0,0,1.2,1.2,0.06,0.8,0.8
Keno,BRA,"FW,MF",33,Fluminense,Brazilian League,17.9,2,42,18.0,42.9,2.34,1.0,0.02,0.06,20.7,0.0,1,1,2.8,2.0,0.05,-0.8,-1.0
Marcelo,BRA,DF,34,Fluminense,Brazilian League,14.7,1,28,8.0,28.6,1.9,0.54,0.04,0.13,22.5,2.0,0,0,1.4,1.4,0.05,-0.4,-0.4
Felipe Melo,BRA,DF,39,Fluminense,Brazilian League,11.0,2,4,2.0,50.0,0.37,0.18,0.5,1.0,15.9,0.0,0,0,0.4,0.4,0.09,1.6,1.6
Guga,BRA,DF,24,Fluminense,Brazilian League,16.8,1,8,2.0,25.0,0.48,0.12,0.13,0.5,18.5,0.0,0,0,0.8,0.8,0.1,0.2,0.2
John Kennedy,BRA,"FW,MF",20,Fluminense,Brazilian League,15.2,6,51,22.0,43.1,3.35,1.44,0.12,0.27,16.3,0.0,0,0,6.3,6.3,0.12,-0.3,-0.3
Alexsander,BRA,"MF,DF",19,Fluminense,Brazilian League,13.3,0,9,2.0,22.2,0.68,0.15,0.0,0.0,21.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Marlon,BRA,DF,27,Fluminense,Brazilian League,10.4,0,3,1.0,33.3,0.29,0.1,0.0,0.0,20.0,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Diogo Barbosa,BRA,DF,30,Fluminense,Brazilian League,12.4,1,6,3.0,50.0,0.48,0.24,0.17,0.33,22.0,0.0,0,0,0.3,0.3,0.05,0.7,0.7
David Braz,BRA,DF,35,Fluminense,Brazilian League,9.6,0,10,3.0,30.0,1.04,0.31,0.0,0.0,18.7,3.0,0,0,0.7,0.7,0.07,-0.7,-0.7
Thiago dos Santos,BRA,"DF,MF",33,Fluminense,Brazilian League,9.1,0,6,1.0,16.7,0.66,0.11,0.0,0.0,23.0,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Lelê,BRA,"FW,MF",25,Fluminense,Brazilian League,12.7,2,43,16.0,37.2,3.38,1.26,0.05,0.13,12.9,0.0,0,0,6.0,6.0,0.14,-4.0,-4.0
Leonardo Fernández,URU,"MF,FW",24,Fluminense,Brazilian League,7.3,1,24,13.0,54.2,3.28,1.78,0.04,0.08,28.8,5.0,0,1,1.5,0.7,0.03,-0.5,0.3
Danielzinho,BRA,MF,27,Fluminense,Brazilian League,6.8,0,5,1.0,20.0,0.74,0.15,0.0,0.0,19.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
Yony González,COL,"FW,MF",28,Fluminense,Brazilian League,6.4,1,13,5.0,38.5,2.03,0.78,0.08,0.2,12.0,0.0,0,0,2.1,2.1,0.16,-1.1,-1.1
Gabriel Pirani,BRA,"MF,FW",20,Fluminense,Brazilian League,4.4,1,8,4.0,50.0,1.82,0.91,0.13,0.25,12.6,0.0,0,0,1.6,1.6,0.2,-0.6,-0.6
Manoel,BRA,DF,32,Fluminense,Brazilian League,3.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Pedro Rangel,BRA,GK,22,Fluminense,Brazilian League,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Felipe Vieira,BRA,DF,22,Fluminense,Brazilian League,2.3,0,3,1.0,33.3,1.33,0.44,0.0,0.0,16.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Vitor Mendes,BRA,DF,23,Fluminense,Brazilian League,1.2,0,1,1.0,100.0,0.83,0.83,0.0,0.0,7.5,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1
Giovanni,BRA,"MF,DF",21,Fluminense,Brazilian League,1.1,0,4,0.0,0.0,3.75,0.0,0.0,0.0,24.6,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Vitor Eudes,BRA,GK,24,Fluminense,Brazilian League,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Justen,BRA,DF,19,Fluminense,Brazilian League,0.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alan Carvalho,CHN,MF,33,Fluminense,Brazilian League,0.5,1,1,1.0,100.0,2.0,2.0,1.0,1.0,5.1,0.0,0,0,0.6,0.6,0.63,0.4,0.4
Isaac,BRA,"MF,DF",18,Fluminense,Brazilian League,1.5,0,4,0.0,0.0,2.75,0.0,0.0,0.0,13.5,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
João Neto,BRA,"MF,DF",19,Fluminense,Brazilian League,0.6,1,1,1.0,100.0,1.73,1.73,1.0,1.0,7.0,0.0,0,0,0.4,0.4,0.41,0.6,0.6
Arthur,BRA,"DF,FW",18,Fluminense,Brazilian League,0.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alexandre Jesus,BRA,DF,21,Fluminense,Brazilian League,0.1,0,1,0.0,0.0,7.5,0.0,0.0,0.0,29.0,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Rafael Monteiro,BRA,MF,18,Fluminense,Brazilian League,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bento,BRA,GK,23,Ath Paranaense,Brazilian League,33.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Thiago Heleno,BRA,DF,34,Ath Paranaense,Brazilian League,30.9,0,19,5.0,26.3,0.62,0.16,0.0,0.0,10.9,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8
Erick,BRA,MF,25,Ath Paranaense,Brazilian League,27.8,4,56,15.0,26.8,2.02,0.54,0.07,0.27,13.4,0.0,0,0,5.4,5.4,0.1,-1.4,-1.4
Vitor Bueno,BRA,"MF,FW",28,Ath Paranaense,Brazilian League,23.1,5,63,17.0,27.0,2.73,0.74,0.03,0.12,26.8,11.0,3,3,5.3,3.1,0.05,-0.3,-1.1
Fernandinho,BRA,MF,37,Ath Paranaense,Brazilian League,21.5,1,15,4.0,26.7,0.7,0.19,0.0,0.0,27.8,0.0,1,1,1.2,0.4,0.03,-0.2,-0.4
Agustín Canobbio,URU,"FW,MF",24,Ath Paranaense,Brazilian League,23.5,3,67,29.0,43.3,2.85,1.23,0.04,0.1,20.1,4.0,0,0,5.5,5.5,0.08,-2.5,-2.5
Tomás Cuello,ARG,"MF,FW",22,Ath Paranaense,Brazilian League,22.8,0,30,8.0,26.7,1.31,0.35,0.0,0.0,22.4,0.0,0,0,1.5,1.5,0.05,-1.5,-1.5
Vitor Roque,BRA,FW,17,Ath Paranaense,Brazilian League,19.0,12,51,23.0,45.1,2.68,1.21,0.24,0.52,14.0,0.0,0,0,8.8,8.8,0.17,3.2,3.2
Cacá,BRA,DF,23,Ath Paranaense,Brazilian League,18.8,2,9,2.0,22.2,0.48,0.11,0.22,1.0,11.6,0.0,0,0,1.1,1.1,0.12,0.9,0.9
Lucas Esquivel,ARG,DF,21,Ath Paranaense,Brazilian League,18.3,0,8,2.0,25.0,0.44,0.11,0.0,0.0,22.1,3.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Hugo Moura,BRA,MF,25,Ath Paranaense,Brazilian League,14.7,0,11,1.0,9.1,0.75,0.07,0.0,0.0,28.3,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Pablo,BRA,FW,30,Ath Paranaense,Brazilian League,15.5,7,43,15.0,34.9,2.77,0.97,0.16,0.47,16.5,0.0,0,0,6.1,6.1,0.14,0.9,0.9
Christian,BRA,"MF,FW",22,Ath Paranaense,Brazilian League,15.1,4,26,7.0,26.9,1.72,0.46,0.15,0.57,20.1,0.0,0,0,2.7,2.7,0.1,1.3,1.3
Mádson,BRA,"DF,MF",31,Ath Paranaense,Brazilian League,14.8,2,12,7.0,58.3,0.81,0.47,0.17,0.29,11.1,0.0,0,0,1.3,1.3,0.11,0.7,0.7
Bruno Zapelli,ARG,"MF,FW",20,Ath Paranaense,Brazilian League,12.7,2,32,5.0,15.6,2.52,0.39,0.06,0.4,21.6,0.0,0,0,2.5,2.5,0.08,-0.5,-0.5
Khellven,BRA,DF,21,Ath Paranaense,Brazilian League,11.1,0,10,2.0,20.0,0.9,0.18,0.0,0.0,21.0,3.0,0,0,1.0,1.0,0.12,-1.0,-1.0
Zé Ivaldo,BRA,DF,25,Ath Paranaense,Brazilian League,11.3,0,3,1.0,33.3,0.27,0.09,0.0,0.0,26.6,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Pedro Henrique,BRA,DF,27,Ath Paranaense,Brazilian League,9.5,1,7,2.0,28.6,0.74,0.21,0.14,0.5,15.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4
Alex Santana,BRA,MF,27,Ath Paranaense,Brazilian League,11.1,3,22,6.0,27.3,1.98,0.54,0.14,0.5,22.8,0.0,0,0,1.2,1.2,0.05,1.8,1.8
Kaique Rocha,BRA,DF,21,Ath Paranaense,Brazilian League,7.2,1,4,1.0,25.0,0.55,0.14,0.25,1.0,11.6,0.0,0,0,0.2,0.2,0.05,0.8,0.8
Matheus Felipe,BRA,DF,24,Ath Paranaense,Brazilian League,5.9,0,2,1.0,50.0,0.34,0.17,0.0,0.0,35.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Willian,BRA,"FW,MF",36,Ath Paranaense,Brazilian League,6.4,4,17,7.0,41.2,2.67,1.1,0.24,0.57,16.2,0.0,0,0,1.9,1.9,0.11,2.1,2.1
Fernando,BRA,DF,23,Ath Paranaense,Brazilian League,5.3,0,2,0.0,0.0,0.38,0.0,0.0,0.0,26.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Arturo Vidal,CHI,MF,35,Ath Paranaense,Brazilian League,4.2,0,2,0.0,0.0,0.47,0.0,0.0,0.0,14.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Rômulo,BRA,"FW,MF",20,Ath Paranaense,Brazilian League,5.7,0,12,3.0,25.0,2.12,0.53,0.0,0.0,15.4,0.0,0,0,1.5,1.5,0.13,-1.5,-1.5
Leonardo Linck,BRA,GK,21,Ath Paranaense,Brazilian League,5.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
David Terans,URU,"MF,FW",28,Ath Paranaense,Brazilian League,4.4,0,12,2.0,16.7,2.75,0.46,0.0,0.0,27.5,1.0,0,0,0.9,0.9,0.07,-0.9,-0.9
Vinicius Kaue,BRA,"DF,MF",19,Ath Paranaense,Brazilian League,3.8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
