player,nationality,position,age,club,league,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Éverson,BRA,GK,32,Atlético Mineiro,Brazilian League,36.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Paulinho,BRA,"FW,MF",22,Atlético Mineiro,Brazilian League,33.2,20,90,47.0,52.2,2.71,1.41,0.22,0.43,13.3,0.0,0,0,14.9,14.9,0.17,5.1,5.1
Hulk,BRA,FW,36,Atlético Mineiro,Brazilian League,32.7,15,117,43.0,36.8,3.58,1.32,0.09,0.23,25.2,34.0,5,5,11.9,8.4,0.07,3.1,1.6
Jemerson,BRA,DF,30,Atlético Mineiro,Brazilian League,27.5,0,10,2.0,20.0,0.36,0.07,0.0,0.0,10.2,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
Guilherme Arana,BRA,DF,25,Atlético Mineiro,Brazilian League,26.5,2,28,7.0,25.0,1.06,0.26,0.07,0.29,23.9,0.0,0,0,1.0,1.0,0.04,1.0,1.0
Otávio,BRA,MF,28,Atlético Mineiro,Brazilian League,25.6,0,8,2.0,25.0,0.31,0.08,0.0,0.0,25.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
Mauricio Lemos,URU,DF,27,Atlético Mineiro,Brazilian League,24.6,1,21,7.0,33.3,0.85,0.28,0.05,0.14,20.2,5.0,0,0,1.1,1.1,0.05,-0.1,-0.1
Federico Zaracho,ARG,"MF,FW",24,Atlético Mineiro,Brazilian League,21.6,2,21,4.0,19.0,0.97,0.18,0.1,0.5,16.6,0.0,0,0,3.0,3.0,0.14,-1.0,-1.0
Cristian Pavón,ARG,"FW,MF",27,Atlético Mineiro,Brazilian League,21.5,3,53,17.0,32.1,2.47,0.79,0.04,0.12,20.5,1.0,1,1,4.1,3.3,0.06,-1.1,-1.3
Renzo Saravia,ARG,DF,29,Atlético Mineiro,Brazilian League,19.0,0,10,3.0,30.0,0.53,0.16,0.0,0.0,25.2,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
Rodrigo Battaglia,ARG,MF,31,Atlético Mineiro,Brazilian League,19.2,0,17,3.0,17.6,0.89,0.16,0.0,0.0,18.7,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9
Mariano,BRA,DF,36,Atlético Mineiro,Brazilian League,17.4,0,1,1.0,100.0,0.06,0.06,0.0,0.0,14.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Igor Gomes,BRA,"MF,FW",23,Atlético Mineiro,Brazilian League,15.3,2,19,5.0,26.3,1.24,0.33,0.11,0.4,21.0,0.0,0,0,1.8,1.8,0.09,0.2,0.2
Edenílson,BRA,"MF,FW",33,Atlético Mineiro,Brazilian League,15.2,1,8,3.0,37.5,0.53,0.2,0.13,0.33,20.3,0.0,0,0,0.5,0.5,0.06,0.5,0.5
Rubens,BRA,"DF,MF",21,Atlético Mineiro,Brazilian League,15.0,1,18,5.0,27.8,1.2,0.33,0.06,0.2,22.3,0.0,0,0,1.1,1.1,0.06,-0.1,-0.1
Bruno Fuchs,BRA,DF,23,Atlético Mineiro,Brazilian League,12.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Hyoran,BRA,"MF,FW",29,Atlético Mineiro,Brazilian League,7.7,2,19,5.0,26.3,2.47,0.65,0.11,0.4,20.9,3.0,0,0,2.1,2.1,0.11,-0.1,-0.1
Alan Franco,ECU,"MF,FW",24,Atlético Mineiro,Brazilian League,9.3,0,4,1.0,25.0,0.43,0.11,0.0,0.0,22.2,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Igor Rabello,BRA,DF,27,Atlético Mineiro,Brazilian League,7.7,0,2,1.0,50.0,0.26,0.13,0.0,0.0,9.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Pedrinho,BRA,"MF,FW",24,Atlético Mineiro,Brazilian League,7.0,0,10,2.0,20.0,1.43,0.29,0.0,0.0,27.4,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3
Eduardo Vargas,CHI,FW,33,Atlético Mineiro,Brazilian League,5.2,1,6,4.0,66.7,1.15,0.77,0.17,0.25,18.2,0.0,0,0,0.3,0.3,0.05,0.7,0.7
Nathan Silva,BRA,DF,25,Atlético Mineiro,Brazilian League,4.0,0,2,1.0,50.0,0.5,0.25,0.0,0.0,10.4,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Patrick,BRA,"MF,FW",30,Atlético Mineiro,Brazilian League,6.2,0,6,1.0,16.7,0.97,0.16,0.0,0.0,11.0,0.0,0,0,0.9,0.9,0.16,-0.9,-0.9
Alan Kardec,BRA,"FW,MF",34,Atlético Mineiro,Brazilian League,2.9,1,7,1.0,14.3,2.38,0.34,0.14,1.0,10.5,0.0,0,0,0.9,0.9,0.13,0.1,0.1
Matheus Mendes,BRA,GK,23,Atlético Mineiro,Brazilian League,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Réver,BRA,"DF,FW",38,Atlético Mineiro,Brazilian League,1.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
