player,nationality,position,age,club,league,minutes_90s,Y,R,YR,fouls,fouled,offsides,crosses,interceptions,tklw,pens_won,pens_conceded,OG,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Mitchel Bakker,NED,DF,23,Atalanta,Serie A,4.2,1,0,0,4,4,1,13,3,3,0,0,0,30,4,1,80.0
El Bilal Touré,MLI,FW,22,Atalanta,Serie A,4.2,2,0,0,13,7,2,1,1,1,1,0,0,8,14,14,50.0
Luis Muriel,COL,"FW,MF",33,Atalanta,Serie A,4.5,0,0,0,6,14,1,31,1,2,0,0,0,18,6,7,46.2
Duván Zapata,COL,FW,33,Atalanta,Serie A,1.2,0,0,0,1,4,1,6,0,0,0,0,0,6,5,5,50.0
Giovanni Bonfanti,ITA,DF,21,Atalanta,Serie A,1.0,0,0,0,2,1,0,2,1,2,0,0,0,7,1,2,33.3
Nadir Zortea,ITA,DF,24,Atalanta,Serie A,1.7,1,0,0,4,2,0,12,1,4,0,0,0,4,0,2,0.0
Michel Ndary Adopo,FRA,MF,23,Atalanta,Serie A,1.2,0,0,0,2,1,1,1,0,3,0,0,0,13,3,1,75.0
José Luis Palomino,ARG,DF,34,Atalanta,Serie A,0.3,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,100.0
Francesco Rossi,ITA,GK,33,Atalanta,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Leonardo Mendicino,ITA,MF,17,Atalanta,Serie A,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lukasz Skorupski,POL,GK,33,Bologna,Serie A,32.0,2,0,0,0,4,0,0,1,2,0,0,0,34,1,2,33.3
Joshua Zirkzee,NED,FW,23,Bologna,Serie A,30.7,8,0,0,29,27,5,8,3,20,0,0,0,103,29,39,42.6
Lewis Ferguson,SCO,MF,24,Bologna,Serie A,30.1,8,0,0,52,72,4,11,17,21,1,1,0,142,34,40,45.9
Remo Freuler,SUI,MF,32,Bologna,Serie A,29.2,9,0,0,44,15,0,9,36,50,0,1,0,137,20,27,42.6
Sam Beukema,NED,DF,25,Bologna,Serie A,28.3,6,1,1,27,11,1,2,15,11,0,2,0,144,46,36,56.1
Stefan Posch,AUT,DF,27,Bologna,Serie A,26.8,7,0,0,30,13,1,39,18,46,0,0,0,109,34,29,54.0
Riccardo Calafiori,ITA,DF,22,Bologna,Serie A,26.1,4,0,0,35,27,2,9,50,32,0,2,1,194,60,24,71.4
Victor Bernth Kristiansen,DEN,DF,21,Bologna,Serie A,25.6,4,0,0,29,7,1,35,12,34,1,1,0,88,24,19,55.8
Michel Aebischer,SUI,MF,27,Bologna,Serie A,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7
Jhon Lucumí,COL,DF,25,Bologna,Serie A,24.6,1,0,0,10,18,1,1,16,29,0,0,0,136,29,28,50.9
Alexis Saelemaekers,BEL,"FW,MF",24,Bologna,Serie A,21.0,7,1,1,16,58,2,86,13,22,1,0,0,112,8,7,53.3
Dan Ndoye,SUI,"FW,MF",23,Bologna,Serie A,19.7,4,0,0,29,57,7,47,10,15,0,0,0,106,7,16,30.4
Riccardo Orsolini,ITA,"FW,MF",27,Bologna,Serie A,19.9,2,0,0,17,41,14,100,8,14,0,0,0,69,16,17,48.5
Giovanni Fabbian,ITA,"MF,FW",21,Bologna,Serie A,11.7,4,0,0,16,18,2,4,7,10,0,0,0,30,17,22,43.6
Charalambos Lykogiannis,GRE,DF,30,Bologna,Serie A,10.0,2,0,0,12,0,2,59,5,6,0,0,0,31,16,13,55.2
Nikola Moro,CRO,MF,26,Bologna,Serie A,9.3,0,0,0,11,9,0,13,7,16,0,0,0,46,4,13,23.5
Kacper Urbanski,POL,"MF,FW",19,Bologna,Serie A,10.3,2,0,0,11,11,3,22,4,10,0,0,0,30,22,12,64.7
Lorenzo De Silvestri,ITA,DF,36,Bologna,Serie A,7.5,0,0,0,3,6,0,9,6,8,0,0,0,21,9,5,64.3
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0
Oussama El Azzouzi,MAR,MF,23,Bologna,Serie A,6.1,4,0,0,14,7,1,2,6,7,0,0,0,37,5,11,31.3
Jens Odgaard,DEN,"FW,MF",25,Bologna,Serie A,4.8,1,0,0,14,11,7,8,1,4,0,0,0,15,12,15,44.4
Jesper Karlsson,SWE,FW,25,Bologna,Serie A,3.8,0,0,0,4,1,1,24,4,3,0,0,0,16,0,2,0.0
Santiago Castro,ARG,FW,19,Bologna,Serie A,2.7,1,0,0,7,7,0,1,1,1,0,0,0,4,5,7,41.7
Sydney van Hooijdonk,NED,FW,24,Bologna,Serie A,2.4,0,0,0,6,2,1,1,1,0,0,0,0,3,5,12,29.4
Tommaso Corazza,ITA,DF,19,Bologna,Serie A,2.2,1,0,0,1,3,0,8,5,4,0,0,0,8,0,1,0.0
Nicolás Domínguez,ARG,MF,25,Bologna,Serie A,1.1,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0
Kevin Bonifazi,ITA,DF,28,Bologna,Serie A,1.0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,0.0
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bryan Cristante,ITA,"MF,DF",29,Roma,Serie A,36.5,8,0,0,77,16,4,29,25,41,0,1,0,203,82,60,57.7
Gianluca Mancini,ITA,DF,28,Roma,Serie A,31.9,9,0,0,49,31,0,24,36,20,0,0,0,106,42,33,56.0
Leandro Paredes,ARG,MF,29,Roma,Serie A,29.3,15,1,0,31,35,0,82,29,36,0,1,0,184,14,3,82.4
Romelu Lukaku,BEL,FW,31,Roma,Serie A,29.3,5,1,0,24,17,25,13,0,5,0,0,0,52,51,55,48.1
Diego Llorente,ESP,DF,30,Roma,Serie A,24.1,5,0,0,25,23,0,6,22,19,0,1,0,92,43,50,46.2
