player,nationality,position,age,club,league,minutes_90s,passes,passes_live,passes_dead,passes_fk,through_balls,passes_switches,crosses,throw_ins,CK,CK_in,CK_out,CK_s,passes_completed,passes_offside,passes_blocked
Jamiro Monteiro,CPV,MF,29,SJ Earthquakes,MLS,23.6,1111,1084,24,18,5,4,18,6,0,0,0,0,962,3,19
Jan Bednarek,POL,DF,27,Southampton,EFL,39.4,3968,3790,175,96,2,18,0,18,0,0,0,0,3787,3,9
Jan Carmona,MEX,"FW,DF",19,FC Juárez,Liga MX,0.5,28,19,9,1,0,0,1,8,0,0,0,0,18,0,2
Jan Elvedi,SUI,DF,26,Kaiserslautern,2. Bundesliga,33.0,1408,1346,61,51,0,4,5,5,0,0,0,0,1171,1,16
Jan Gyamerah,GER,DF,28,Nürnberg,2. Bundesliga,24.5,1353,1102,244,33,1,6,46,211,0,0,0,0,1124,7,36
Jan Luca Schuler,GER,FW,24,Magdeburg,2. Bundesliga,19.7,289,242,46,0,1,0,1,0,0,0,0,0,209,1,7
Jan Mlakar,SVN,"FW,MF",24,Pisa,Serie B,16.0,431,422,9,2,0,3,8,2,0,0,0,0,327,0,20
Jan Reichert,GER,GK,22,Nürnberg,2. Bundesliga,1.0,44,37,7,2,0,0,0,0,0,0,0,0,39,0,0
Jan Sobociński,POL,DF,23,Charlotte,MLS,7.2,422,398,23,15,0,13,1,1,0,0,0,0,353,1,1
Jan Zuberek,POL,FW,19,Ternana,Serie B,0.3,6,6,0,0,0,0,1,0,0,0,0,0,4,0,0
Jan-Hendrik Marx,GER,"DF,FW",28,Braunschweig,2. Bundesliga,3.9,156,106,49,5,0,1,26,31,13,5,7,0,109,1,2
Jandro Orellana,ESP,MF,23,FC Andorra,Segunda Division,26.7,1380,1312,61,48,5,8,18,5,7,2,0,0,1200,7,16
Janik Bachmann,GER,"MF,DF",27,Hansa Rostock,2. Bundesliga,15.2,432,417,12,8,1,5,1,4,0,0,0,0,316,3,5
Janis Antiste,FRA,"MF,FW",20,Reggiana,Serie B,18.7,536,517,13,1,1,1,20,6,0,0,0,0,362,6,23
Jann-Fiete Arp,GER,"FW,MF",23,Holstein Kiel,2. Bundesliga,8.6,180,175,4,1,0,3,10,1,0,0,0,0,116,1,13
Jannes Horn,GER,DF,26,Nürnberg,2. Bundesliga,24.2,1380,1266,113,63,1,15,6,10,0,0,0,0,1233,1,11
Jannes Wulff,GER,"FW,MF",23,Osnabrück,2. Bundesliga,11.4,286,281,3,0,3,1,5,3,0,0,0,0,200,2,17
Jannik Dehm,GER,"DF,MF",27,Hannover 96,2. Bundesliga,23.0,1107,839,266,13,3,15,69,248,5,1,3,0,744,2,28
Jannik Hofmann,GER,"FW,MF",21,Nürnberg,2. Bundesliga,3.1,110,97,12,2,0,0,14,10,0,0,0,0,84,1,4
Jannik Huth,GER,GK,29,Paderborn 07,2. Bundesliga,14.0,720,563,154,30,2,3,0,0,0,0,0,0,525,3,2
Jannik Rochelt,GER,"FW,MF",24,Elversberg,2. Bundesliga,29.8,1085,932,145,42,2,4,123,27,72,25,37,0,803,8,28
Jannik Vestergaard,DEN,DF,30,Leicester City,EFL,41.3,4168,3981,180,71,5,24,0,6,0,0,0,0,3838,7,15
Jannis Heuer,GER,DF,24,Paderborn 07,2. Bundesliga,8.8,663,635,28,21,0,5,4,7,0,0,0,0,574,0,4
Jannis Lang,GER,"DF,MF",21,Hansa Rostock,2. Bundesliga,3.3,117,82,33,3,0,1,11,30,0,0,0,0,63,2,2
Jannis Nikolaou,GER,"MF,DF",30,Braunschweig,2. Bundesliga,14.4,707,682,21,19,4,5,5,2,0,0,0,0,508,4,12
Janoi Donacien,LCA,DF,29,Ipswich Town,EFL,2.4,110,83,27,3,0,1,2,24,0,0,0,0,79,0,4
Japhet Tanganga,ENG,DF,24,Millwall,EFL,17.2,637,597,39,4,1,2,4,35,0,0,0,0,486,1,4
Jared Stroud,USA,"MF,FW",26,St. Louis,MLS,21.9,671,634,32,1,2,1,74,28,3,1,1,0,440,5,40
Jari Vandeputte,BEL,"MF,DF",27,Catanzaro,Serie B,34.3,1453,1230,222,46,4,15,250,47,129,51,66,0,984,1,36
Jarosław Niezgoda,POL,FW,27,Portland Timbers,MLS,7.3,144,133,10,0,2,0,3,1,0,0,0,0,95,1,4
Jascha Brandt,GER,FW,20,Paderborn 07,2. Bundesliga,0.3,8,8,0,0,0,0,0,0,0,0,0,0,4,0,2
Jasmin Kurtić,SVN,MF,34,Südtirol,Serie B,8.8,672,639,32,28,0,5,7,3,1,1,0,0,597,1,5
Jason Berthomier,FRA,"MF,FW",33,Valenciennes,Ligue 2,1.4,117,103,14,6,0,0,10,3,3,3,0,0,90,0,3
Jason Ceka,GER,"FW,MF",23,Magdeburg,2. Bundesliga,12.6,392,366,21,7,8,3,16,4,10,4,0,0,265,5,13
Jason Knight,IRL,"MF,FW",22,Bristol City,EFL,42.6,1550,1499,46,17,7,13,52,14,3,0,0,0,1148,5,66
Jason Lokilo,BEL,"FW,MF",24,Hull City,EFL,7.9,311,288,23,4,0,3,30,10,9,7,0,0,254,0,9
