player,nationality,position,age,club,league,minutes_90s,p_tackled,tklw,def_3rd,mid_3rd,att_3rd,d_tackled,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,intr,tkl_intr,clr,err
Lewis Ferguson,SCO,MF,24,Bologna,Serie A,30.1,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27,1
Remo Freuler,SUI,MF,32,Bologna,Serie A,29.2,78,50,41,32,5,38,69,55.1,31,37,9,28,36,114,53,2
Sam Beukema,NED,DF,25,Bologna,Serie A,28.3,27,11,14,11,2,16,25,64.0,9,35,21,14,15,42,99,2
Stefan Posch,AUT,DF,27,Bologna,Serie A,26.8,77,46,35,38,4,49,88,55.7,39,27,8,19,18,95,72,0
Riccardo Calafiori,ITA,DF,22,Bologna,Serie A,26.1,47,32,28,16,3,22,32,68.8,10,38,13,25,50,97,74,3
Victor Bernth Kristiansen,DEN,DF,21,Bologna,Serie A,25.6,52,34,23,22,7,20,35,57.1,15,35,8,27,12,64,45,1
Michel Aebischer,SUI,MF,27,Bologna,Serie A,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0
Jhon Lucumí,COL,DF,25,Bologna,Serie A,24.6,48,29,31,17,0,27,36,75.0,9,32,17,15,16,64,68,2
Alexis Saelemaekers,BEL,"FW,MF",24,Bologna,Serie A,21.0,32,22,13,14,5,12,27,44.4,15,13,1,12,13,45,10,1
Dan Ndoye,SUI,"FW,MF",23,Bologna,Serie A,19.7,30,15,17,11,2,17,39,43.6,22,20,1,19,10,40,14,0
Riccardo Orsolini,ITA,"FW,MF",27,Bologna,Serie A,19.9,23,14,13,4,6,9,30,30.0,21,25,3,22,8,31,19,1
Giovanni Fabbian,ITA,"MF,FW",21,Bologna,Serie A,11.7,17,10,9,7,1,7,12,58.3,5,5,2,3,7,24,11,0
Charalambos Lykogiannis,GRE,DF,30,Bologna,Serie A,10.0,10,6,5,4,1,5,10,50.0,5,15,5,10,5,15,30,0
Nikola Moro,CRO,MF,26,Bologna,Serie A,9.3,21,16,8,12,1,8,15,53.3,7,14,1,13,7,28,10,0
Kacper Urbanski,POL,"MF,FW",19,Bologna,Serie A,10.3,16,10,5,10,1,6,13,46.2,7,15,1,14,4,20,14,0
Lorenzo De Silvestri,ITA,DF,36,Bologna,Serie A,7.5,10,8,5,2,3,4,7,57.1,3,9,4,5,6,16,27,0
Federico Ravaglia,ITA,GK,24,Bologna,Serie A,5.9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0
Oussama El Azzouzi,MAR,MF,23,Bologna,Serie A,6.1,12,7,4,5,3,7,14,50.0,7,8,2,6,6,18,12,0
Jens Odgaard,DEN,"FW,MF",25,Bologna,Serie A,4.8,4,4,1,1,2,1,3,33.3,2,9,0,9,1,5,3,0
Jesper Karlsson,SWE,FW,25,Bologna,Serie A,3.8,3,3,2,1,0,2,8,25.0,6,4,0,4,4,7,1,0
Santiago Castro,ARG,FW,19,Bologna,Serie A,2.7,2,1,0,1,1,1,3,33.3,2,1,0,1,1,3,1,0
Sydney van Hooijdonk,NED,FW,24,Bologna,Serie A,2.4,3,0,0,2,1,1,2,50.0,1,1,1,0,1,4,4,0
Tommaso Corazza,ITA,DF,19,Bologna,Serie A,2.2,10,4,9,1,0,4,9,44.4,5,2,0,2,5,15,3,0
Nicolás Domínguez,ARG,MF,25,Bologna,Serie A,1.1,1,0,1,0,0,0,2,0.0,2,3,0,3,0,1,2,0
Kevin Bonifazi,ITA,DF,28,Bologna,Serie A,1.0,4,0,0,4,0,1,2,50.0,1,0,0,0,0,4,7,1
Nicola Bagnolini,ITA,GK,20,Bologna,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Bryan Cristante,ITA,"MF,DF",29,Roma,Serie A,36.5,72,41,33,28,11,28,50,56.0,22,36,6,30,25,97,55,2
Gianluca Mancini,ITA,DF,28,Roma,Serie A,31.9,34,20,21,11,2,11,27,40.7,16,38,26,12,36,70,77,1
Leandro Paredes,ARG,MF,29,Roma,Serie A,29.3,57,36,30,22,5,33,77,42.9,44,26,7,19,29,86,43,1
Romelu Lukaku,BEL,FW,31,Roma,Serie A,29.3,6,5,1,2,3,2,4,50.0,2,7,1,6,0,6,19,1
Diego Llorente,ESP,DF,30,Roma,Serie A,24.1,31,19,20,10,1,11,24,45.8,13,40,27,13,22,53,79,0
Obite N'Dicka,CIV,DF,24,Roma,Serie A,24.1,32,18,12,19,1,12,20,60.0,8,30,16,14,16,48,75,0
Paulo Dybala,ARG,"FW,MF",30,Roma,Serie A,21.8,22,13,3,10,9,2,18,11.1,16,12,0,12,3,25,6,1
Rui Patrício,POR,GK,36,Roma,Serie A,23.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,1
Lorenzo Pellegrini,ITA,MF,27,Roma,Serie A,20.7,35,20,14,16,5,17,51,33.3,34,28,5,23,20,55,22,0
Rasmus Kristensen,DEN,DF,26,Roma,Serie A,19.4,36,19,25,8,3,28,50,56.0,22,27,7,20,8,44,50,0
Stephan El Shaarawy,ITA,"FW,DF",31,Roma,Serie A,19.3,21,13,14,4,3,6,15,40.0,9,11,4,7,13,34,15,2
Edoardo Bove,ITA,MF,22,Roma,Serie A,19.8,60,31,16,31,13,27,46,58.7,19,21,1,20,11,71,11,1
Mile Svilar,SRB,GK,24,Roma,Serie A,15.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
Leonardo Spinazzola,ITA,DF,31,Roma,Serie A,14.6,15,7,10,5,0,8,18,44.4,10,8,2,6,3,18,15,0
Rick Karsdorp,NED,DF,29,Roma,Serie A,13.2,25,18,11,8,6,16,24,66.7,8,13,4,9,9,34,16,0
Angeliño,ESP,DF,27,Roma,Serie A,12.7,21,11,12,6,3,11,19,57.9,8,11,5,6,12,33,37,1
Nicola Zalewski,POL,"DF,FW",22,Roma,Serie A,10.8,20,14,10,9,1,8,22,36.4,14,12,4,8,9,29,17,0
Houssem Aouar,ALG,"MF,FW",25,Roma,Serie A,8.4,16,11,4,10,2,3,12,25.0,9,5,0,5,4,20,2,1
Andrea Belotti,ITA,FW,30,Roma,Serie A,7.5,8,4,2,3,3,3,6,50.0,3,7,0,7,2,10,3,0
Zeki Çelik,TUR,DF,27,Roma,Serie A,7.5,23,16,10,10,3,14,25,56.0,11,12,5,7,8,31,25,0
Tommaso Baldanzi,ITA,"FW,MF",21,Roma,Serie A,5.8,9,5,3,4,2,1,1,100.0,0,2,0,2,0,9,4,0
Dean Huijsen,ESP,DF,19,Roma,Serie A,5.7,10,5,5,5,0,1,4,25.0,3,7,4,3,4,14,26,2
Chris Smalling,ENG,DF,34,Roma,Serie A,4.3,1,1,1,0,0,1,4,25.0,3,6,5,1,5,6,8,0
Sardar Azmoun,IRN,"FW,MF",29,Roma,Serie A,6.5,8,5,2,5,1,4,8,50.0,4,4,1,3,3,11,6,1
Tammy Abraham,ENG,FW,26,Roma,Serie A,2.7,3,1,0,1,2,0,0,0.0,0,1,0,1,0,3,4,0
Renato Sanches,POR,MF,26,Roma,Serie A,1.6,2,1,1,1,0,2,3,66.7,1,2,0,2,0,2,1,0
Riccardo Pagano,ITA,"MF,DF",19,Roma,Serie A,0.6,2,2,1,1,0,0,6,0.0,6,3,2,1,0,2,2,0
Ola Solbakken,NOR,FW,25,Roma,Serie A,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
João Costa,BRA,"MF,FW",19,Roma,Serie A,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Niccolò Pisilli,ITA,MF,19,Roma,Serie A,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Adam Marušić,MNE,DF,31,Lazio,Serie A,34.4,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2
Felipe Anderson,BRA,"FW,MF",31,Lazio,Serie A,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,12,1
Luis Alberto,ESP,MF,31,Lazio,Serie A,25.7,35,20,16,12,7,15,53,28.3,38,34,4,30,7,42,13,0
Mattéo Guendouzi,FRA,MF,25,Lazio,Serie A,26.3,34,15,11,18,5,21,49,42.9,28,24,6,18,21,55,24,1
Alessio Romagnoli,ITA,DF,29,Lazio,Serie A,26.8,25,18,14,11,0,16,24,66.7,8,29,17,12,29,54,115,0
Mattia Zaccagni,ITA,"FW,MF",28,Lazio,Serie A,21.7,27,16,11,15,1,9,21,42.9,12,26,2,24,21,48,15,0
Mario Gila,ESP,DF,23,Lazio,Serie A,20.1,32,14,23,8,1,19,34,55.9,15,27,14,13,20,52,69,0
Ciro Immobile,ITA,FW,34,Lazio,Serie A,18.4,11,9,2,5,4,3,14,21.4,11,9,3,6,5,16,11,0
Manuel Lazzari,ITA,DF,30,Lazio,Serie A,18.6,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1
Patric,ESP,DF,31,Lazio,Serie A,17.9,13,8,10,3,0,8,18,44.4,10,15,9,6,6,19,44,0
Daichi Kamada,JPN,MF,27,Lazio,Serie A,17.2,53,36,22,22,9,28,52,53.8,24,24,5,19,18,71,7,0
Valentín Castellanos,ARG,FW,25,Lazio,Serie A,18.7,22,10,1,12,9,6,20,30.0,14,22,2,20,2,24,18,0
Nicolò Casale,ITA,DF,26,Lazio,Serie A,17.3,15,9,13,2,0,6,15,40.0,9,19,16,3,12,27,61,0
Nicolò Rovella,ITA,MF,22,Lazio,Serie A,14.6,46,28,25,17,4,16,36,44.4,20,27,6,21,23,69,29,0
Danilo Cataldi,ITA,MF,29,Lazio,Serie A,15.1,24,12,7,16,1,8,18,44.4,10,15,7,8,17,41,19,1
Gustav Isaksen,DEN,FW,23,Lazio,Serie A,11.9,4,3,2,1,1,1,9,11.1,8,11,1,10,4,8,4,0
Elseid Hysaj,ALB,DF,30,Lazio,Serie A,13.3,24,14,8,13,3,15,24,62.5,9,16,6,10,17,41,31,0
Matías Vecino,URU,MF,32,Lazio,Serie A,12.8,32,17,12,20,0,20,31,64.5,11,17,5,12,12,44,21,0
Luca Pellegrini,ITA,DF,25,Lazio,Serie A,8.7,18,13,7,10,1,9,17,52.9,8,7,3,4,9,27,20,0
Christos Mandas,GRE,GK,22,Lazio,Serie A,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,1
