player,nationality,position,age,club,league,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Ivan Provedel,ITA,GK,30,Lazio,Serie A,30.0,3,0.1,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Luis Alberto,ESP,MF,31,Lazio,Serie A,25.7,118,4.6,81,29,0,7,0,1,9,0.35,8,1,0,0,0,0
Mattéo Guendouzi,FRA,MF,25,Lazio,Serie A,26.3,52,1.98,45,0,0,2,3,2,5,0.19,5,0,0,0,0,0
Alessio Romagnoli,ITA,DF,29,Lazio,Serie A,26.8,12,0.45,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0
Mattia Zaccagni,ITA,"FW,MF",28,Lazio,Serie A,21.7,74,3.4,43,13,8,7,3,0,8,0.37,2,1,0,3,2,0
Mario Gila,ESP,DF,23,Lazio,Serie A,20.1,14,0.7,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ciro Immobile,ITA,FW,34,Lazio,Serie A,18.4,40,2.18,29,0,1,6,4,0,4,0.22,2,0,0,0,2,0
Manuel Lazzari,ITA,DF,30,Lazio,Serie A,18.6,32,1.72,27,0,0,2,3,0,5,0.27,5,0,0,0,0,0
Patric,ESP,DF,31,Lazio,Serie A,17.9,9,0.5,7,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Daichi Kamada,JPN,MF,27,Lazio,Serie A,17.2,47,2.74,34,0,5,3,3,2,2,0.12,1,0,0,1,0,0
Valentín Castellanos,ARG,FW,25,Lazio,Serie A,18.7,48,2.57,37,0,2,4,5,0,11,0.59,8,0,1,2,0,0
Nicolò Casale,ITA,DF,26,Lazio,Serie A,17.3,12,0.69,9,0,0,3,0,0,1,0.06,0,0,0,1,0,0
